ShipmentSK,OrderID,OrderDate,PickupDate,DeliveryDate,OriginCity,DestinationCity,DistanceKM,WeightKG,VolumeM3,Carrier,ShippingType,VehicleType,CustomerType,PaymentMethod,WarehouseID,DriverID,ShippingCostIDR,FuelSurchargeIDR,PlannedDeliveryDays,ActualDeliveryDays,DeliveryStatus,DelayReason,CustomerRating
26,ORD2023001770,2025-07-28,2025-07-29,2025-08-06,BALIKPAPAN,MANADO,1147.8,10.91,0.038,Pos Indonesia,Express,Kontainer 20ft,B2C,E-Wallet,WH-MED-02,DRV-161,105000.0,6760.0,3,8.0,Delayed,Kesalahan alamat,2.0
27,ORD2023001755,2024-05-29,2024-05-29,2024-06-05,MALANG,PEKANBARU,1975.0,15.2,0.046,JNE,Reguler,Truk Engkel,B2C,Kartu Kredit,WH-MAK-01,DRV-426,65200.0,3830.0,6,7.0,Delivered,No Delay,5.0
28,ORD2023000922,2025-11-06,2025-11-07,2025-11-12,PALEMBANG,YOGYAKARTA,874.1,47.53,0.218,Wahana,Express,Truk Engkel,B2C,E-Wallet,WH-MED-01,DRV-185,338500.0,17130.0,2,5.0,Delayed,Keterlambatan sortir gudang,2.0
29,ORD2023001585,2023-05-31,2023-05-31,2023-06-03,PALEMBANG,SEMARANG,830.2,1.27,0.004,Ninja Xpress,Instant,Unknown,B2B,Unknown,WH-MED-02,DRV-197,53100.0,3410.0,3,3.0,Delivered,No Delay,
30,ORD2023001846,2025-01-27,2025-01-28,2025-01-29,MAKASSAR,BALIKPAPAN,561.1,26.71,0.202,GoSend Logistics,Reguler,Truk CDD,B2B,Kartu Kredit,WH-SUR-01,DRV-259,103200.0,2610.0,1,1.0,Delivered,No Delay,4.0
31,ORD2023001167,2023-12-14,2023-12-15,2023-12-16,SEMARANG,BANDUNG,336.4,2.15,0.01,Ninja Xpress,Kargo,Truk CDD,B2B,Virtual Account,WH-MAK-01,DRV-380,12800.0,320.0,1,1.0,Delivered,No Delay,3.0
32,ORD2023004374,2023-09-03,2023-09-03,2023-09-10,BALIKPAPAN,SEMARANG,1252.2,3.0,0.024,Lion Parcel,Express,Truk CDD,B2C,E-Wallet,WH-SUR-01,DRV-212,53700.0,3010.0,4,7.0,Delayed,Cuaca buruk,1.0
33,ORD2023000893,2024-02-09,2024-02-09,2024-02-16,MANADO,BANJARMASIN,1624.9,0.79,0.003,SiCepat,Instant,Truk Engkel,B2C,Kartu Kredit,WH-JAK-01,DRV-308,68300.0,3650.0,6,7.0,Delivered,No Delay,1.0
34,ORD2023000963,2025-11-19,2025-11-19,2025-11-24,BATAM,BALIKPAPAN,1707.0,31.49,0.13,ID Express,Reguler,Motor,B2C,COD,WH-MED-02,DRV-152,104300.0,7930.0,4,5.0,Delivered,No Delay,4.0
35,ORD2023005887,2023-11-20,2023-11-20,2023-11-29,PALEMBANG,BALIKPAPAN,1510.7,7.43,0.059,JNE,Kargo,Truk CDD,B2C,E-Wallet,WH-MAK-01,DRV-447,42900.0,1360.0,5,9.0,Returned,Penerima menolak,
36,ORD2023000453,2023-01-07,2023-01-08,2023-01-12,MANADO,DENPASAR,1644.6,15.55,0.048,SiCepat,Reguler,Kontainer 20ft,B2B,E-Wallet,WH-MED-02,DRV-215,89100.0,3940.0,4,4.0,Delivered,No Delay,5.0
37,ORD2023005331,2024-08-10,2024-08-10,2024-08-13,YOGYAKARTA,BALIKPAPAN,1250.2,6.97,0.017,SiCepat,Reguler,Van,B2B,E-Wallet,WH-MAK-02,DRV-405,57600.0,2220.0,3,3.0,Delivered,No Delay,5.0
38,ORD2023000611,2023-03-20,2023-03-20,2023-03-27,MEDAN,MANADO,3336.2,26.12,0.202,ID Express,Instant,Kontainer 20ft,B2B,COD,WH-MAK-01,DRV-398,332600.0,14260.0,7,7.0,Delivered,No Delay,4.0
39,ORD2023004697,2024-09-15,2024-09-15,2024-09-23,YOGYAKARTA,MANADO,2472.2,6.42,0.043,JNE,Kargo,Motor,B2C,COD,WH-MAK-01,DRV-455,49200.0,2700.0,6,8.0,Returned,Penerima menolak,
40,ORD2023003687,2023-11-19,2023-11-20,2023-12-01,JAKARTA,MEDAN,1752.5,13.97,0.087,Wahana,Express,Truk Fuso,B2C,E-Wallet,WH-JAK-01,DRV-391,147300.0,6210.0,6,11.0,Delayed,Kepadatan lalu lintas,1.0
41,ORD2023001954,2024-11-04,2024-11-05,2024-11-08,YOGYAKARTA,BALIKPAPAN,1079.2,1.27,0.007,Ninja Xpress,Reguler,Unknown,B2C,Unknown,WH-MED-02,DRV-134,28400.0,3410.0,2,3.0,Delivered,No Delay,
42,ORD2023000060,2023-07-09,2023-07-09,2023-07-10,BANDUNG,YOGYAKARTA,397.2,2.25,0.02,Wahana,Reguler,Truk CDD,B2B,E-Wallet,WH-SUR-02,DRV-327,18500.0,770.0,1,1.0,Delivered,No Delay,5.0
43,ORD2023005088,2025-07-22,2025-07-22,2025-07-25,MAKASSAR,SEMARANG,1115.0,4.03,0.009,SiCepat,Instant,Van,B2C,Transfer Bank,WH-MED-02,DRV-249,83600.0,3460.0,3,3.0,Delivered,No Delay,3.0
44,ORD2023002225,2024-01-13,2024-01-13,2024-01-23,MANADO,PALEMBANG,2763.0,9.23,0.049,Lion Parcel,Reguler,Truk Fuso,B2B,Kartu Kredit,WH-JAK-02,DRV-490,81900.0,4950.0,9,10.0,Delivered,No Delay,4.0
45,ORD2023002424,2023-10-22,2023-10-23,2023-10-25,BALIKPAPAN,MAKASSAR,593.3,25.82,0.066,Lion Parcel,Reguler,Motor,B2B,COD,WH-MAK-02,DRV-414,124300.0,4490.0,2,2.0,Delivered,No Delay,5.0
46,ORD2023003360,2025-05-24,2025-05-24,2025-05-27,SEMARANG,BALIKPAPAN,1199.4,9.74,0.046,J&T Express,Instant,Truk CDD,B2B,COD,WH-SUR-02,DRV-205,93100.0,3950.0,3,3.0,Delivered,No Delay,2.0
47,ORD2023002110,2025-04-25,2025-04-26,2025-04-30,BALIKPAPAN,JAKARTA,1613.2,27.97,0.082,SiCepat,Kargo,Truk Engkel,B2C,Transfer Bank,WH-JAK-01,DRV-414,78900.0,2800.0,4,4.0,Delivered,No Delay,5.0
48,ORD2023000798,2025-05-06,2025-05-06,2025-05-07,JAKARTA,BANDUNG,140.3,2.01,0.008,ID Express,Reguler,Van,B2B,COD,WH-MAK-02,DRV-209,16200.0,790.0,1,1.0,Delivered,No Delay,4.0
49,ORD2023003019,2023-01-18,2023-01-18,2023-01-19,MALANG,DENPASAR,385.5,3.93,0.036,Wahana,Reguler,Truk Engkel,B2C,E-Wallet,WH-MED-01,DRV-227,29100.0,2240.0,1,1.0,Delivered,No Delay,4.0
50,ORD2023005756,2025-07-03,2025-07-03,2025-07-05,DENPASAR,BANJARMASIN,786.9,3.84,0.026,Pos Indonesia,Reguler,Truk Fuso,B2C,E-Wallet,WH-JAK-02,DRV-313,31900.0,2140.0,2,2.0,Delivered,No Delay,4.0
51,ORD2023003529,2023-03-26,2023-03-26,2023-03-29,MALANG,BANJARMASIN,665.1,6.65,0.062,J&T Express,Kargo,Kontainer 20ft,B2C,Kartu Kredit,WH-JAK-01,DRV-326,25500.0,1160.0,2,3.0,Delayed,Kepadatan lalu lintas,3.0
52,ORD2023000408,2025-03-24,2025-03-24,2025-03-29,MEDAN,SEMARANG,2138.1,4.54,0.045,Lion Parcel,Kargo,Truk CDD,B2C,COD,WH-JAK-01,DRV-132,32600.0,1100.0,5,5.0,Delivered,No Delay,3.0
53,ORD2023003724,2024-06-16,2024-06-17,2024-06-22,BALIKPAPAN,PEKANBARU,1932.1,9.32,0.09,SiCepat,Reguler,Truk Fuso,B2B,Transfer Bank,WH-MED-01,DRV-194,55800.0,2330.0,4,5.0,Delivered,No Delay,3.0
54,ORD2023002470,2025-09-01,2025-09-01,2025-09-07,MAKASSAR,YOGYAKARTA,1399.0,18.54,0.104,Wahana,Kargo,Truk Engkel,B2C,E-Wallet,WH-MAK-01,DRV-225,89500.0,5970.0,5,6.0,Delivered,No Delay,3.0
55,ORD2023005809,2025-02-03,2025-02-03,2025-02-11,MAKASSAR,PALEMBANG,2091.9,5.46,0.013,Wahana,Reguler,Truk CDD,B2C,Kartu Kredit,WH-SUR-01,DRV-345,58400.0,2590.0,6,8.0,Delayed,Kesalahan alamat,1.0
56,ORD2023000701,2023-01-28,2023-01-28,2023-02-04,BATAM,DENPASAR,2202.3,4.98,0.04,SiCepat,Reguler,Motor,B2C,Transfer Bank,WH-MAK-02,DRV-204,49600.0,3700.0,7,7.0,Delivered,No Delay,5.0
57,ORD2023001421,2023-12-23,2023-12-23,2023-12-30,BALIKPAPAN,MEDAN,2710.2,9.12,0.064,JNE,Reguler,Motor,B2B,Virtual Account,WH-SUR-02,DRV-110,88000.0,5910.0,6,7.0,Delivered,No Delay,5.0
58,ORD2023000245,2024-05-16,2024-05-16,2024-05-20,JAKARTA,MEDAN,1526.3,0.99,0.004,Pos Indonesia,Reguler,Truk Engkel,B2C,COD,WH-JAK-01,DRV-477,32400.0,1720.0,4,4.0,Delivered,No Delay,1.0
59,ORD2023001282,2025-04-19,2025-04-19,2025-04-25,PEKANBARU,SEMARANG,1647.1,1.47,0.004,GoSend Logistics,Reguler,Kontainer 20ft,B2C,Virtual Account,WH-MAK-02,DRV-488,29100.0,1370.0,6,6.0,Delivered,No Delay,3.0
60,ORD2023001901,2025-09-03,2025-09-03,2025-09-07,DENPASAR,MALANG,362.4,18.88,0.125,J&T Express,Kargo,Kontainer 20ft,B2C,Kartu Kredit,WH-SUR-01,DRV-445,47800.0,1670.0,1,4.0,Delayed,Cuaca buruk,1.0
61,ORD2023000808,2023-09-20,2023-09-21,2023-09-26,BALIKPAPAN,BANJARMASIN,386.8,18.32,0.1,AnterAja,Reguler,Truk Fuso,B2C,E-Wallet,WH-MED-02,DRV-221,78600.0,3070.0,1,5.0,Delayed,Kendala armada,2.0
62,ORD2023000522,2025-09-21,2025-09-21,2025-09-30,SEMARANG,MEDAN,2151.2,12.84,0.109,Pos Indonesia,Reguler,Van,B2C,Virtual Account,WH-MED-02,DRV-175,68100.0,2100.0,7,9.0,Delayed,Keterlambatan sortir gudang,1.0
63,ORD2023003340,2024-09-30,2024-09-30,2024-10-03,MAKASSAR,MALANG,899.1,11.64,0.037,SiCepat,Kargo,Motor,B2B,Virtual Account,WH-MED-02,DRV-469,59400.0,3490.0,3,3.0,Delivered,No Delay,4.0
64,ORD2023005851,2023-04-13,2023-04-14,2023-04-19,MEDAN,PALEMBANG,1341.1,21.36,0.179,GoSend Logistics,Express,Truk Engkel,B2B,COD,WH-SUR-02,DRV-438,106200.0,3090.0,4,5.0,Delivered,No Delay,3.0
65,ORD2023001210,2024-01-22,2024-01-22,2024-01-31,JAKARTA,MEDAN,1634.2,11.95,0.092,Ninja Xpress,Ekonomi,Truk CDD,B2B,Kartu Kredit,WH-MED-02,DRV-425,55200.0,3540.0,4,9.0,Delayed,Kendala armada,2.0
66,ORD2023002756,2025-08-15,2025-08-15,2025-08-19,MAKASSAR,SEMARANG,1323.3,3.51,0.012,J&T Express,Reguler,Truk CDD,B2C,Transfer Bank,WH-SUR-02,DRV-369,34800.0,900.0,4,4.0,Delivered,No Delay,2.0
67,ORD2023000758,2023-10-18,2023-10-19,2023-10-22,BALIKPAPAN,MANADO,1051.7,4.37,0.012,J&T Express,Reguler,Motor,B2C,E-Wallet,WH-JAK-02,DRV-179,42100.0,3290.0,3,3.0,Delivered,No Delay,5.0
68,ORD2023003941,2025-10-01,2025-10-02,2025-10-05,BANJARMASIN,SEMARANG,753.7,6.33,0.024,Wahana,Reguler,Kontainer 20ft,B2B,Virtual Account,WH-JAK-02,DRV-364,37600.0,2530.0,2,3.0,Delivered,No Delay,4.0
69,ORD2023004536,2025-11-09,2025-11-09,2025-11-15,MANADO,SEMARANG,2040.1,8.54,0.03,ID Express,Express,Motor,B2C,Transfer Bank,WH-MED-01,DRV-393,106700.0,2470.0,5,6.0,Delivered,No Delay,2.0
70,ORD2023004004,2024-03-19,2024-03-19,2024-03-22,BALIKPAPAN,SURABAYA,910.1,46.9,0.303,J&T Express,Express,Van,B2C,Kartu Kredit,WH-MED-02,DRV-173,307200.0,14080.0,2,3.0,Delivered,No Delay,5.0
71,ORD2023004451,2024-10-13,2024-10-14,2024-10-19,BALIKPAPAN,MEDAN,2339.9,16.3,0.043,Lion Parcel,Reguler,Motor,B2B,COD,WH-JAK-02,DRV-158,110100.0,6480.0,5,5.0,Delivered,No Delay,4.0
72,ORD2023003624,2024-04-08,2024-04-08,2024-04-10,PALEMBANG,SURABAYA,1055.4,23.11,0.179,Wahana,Express,Kontainer 20ft,B2B,Kartu Kredit,WH-JAK-01,DRV-250,194300.0,10990.0,2,2.0,Delivered,No Delay,5.0
73,ORD2023005478,2024-05-26,2024-05-27,2024-06-02,MALANG,BANDUNG,673.1,19.29,0.108,J&T Express,Express,Unknown,B2B,Unknown,WH-SUR-01,DRV-152,148900.0,3410.0,1,6.0,Delayed,Cuaca buruk,
74,ORD2023003919,2024-01-28,2024-01-28,2024-02-02,BANJARMASIN,BALIKPAPAN,434.4,9.21,0.036,Ninja Xpress,Reguler,Kontainer 20ft,B2C,E-Wallet,WH-MAK-01,DRV-307,58000.0,1940.0,1,5.0,Delayed,Kesalahan alamat,1.0
75,ORD2023000247,2024-04-05,2024-04-05,2024-04-09,PEKANBARU,YOGYAKARTA,1812.9,17.81,0.116,AnterAja,Instant,Truk Engkel,B2C,Kartu Kredit,WH-JAK-01,DRV-346,145400.0,8440.0,4,4.0,Delivered,No Delay,4.0
76,ORD2023002831,2024-04-23,2024-04-24,2024-04-29,SURABAYA,DENPASAR,347.5,5.78,0.045,SiCepat,Kargo,Motor,B2B,Transfer Bank,WH-MAK-01,DRV-303,31100.0,1930.0,1,5.0,Returned,Penerima menolak,
77,ORD2023003769,2023-04-22,2023-04-22,2023-04-28,SEMARANG,MEDAN,2295.9,11.17,0.103,J&T Express,Kargo,Truk Fuso,B2C,Transfer Bank,WH-MED-01,DRV-367,48800.0,2760.0,5,6.0,Delivered,No Delay,5.0
78,ORD2023002210,2023-09-10,2023-09-10,2023-09-11,MEDAN,PEKANBARU,515.1,2.49,0.02,GoSend Logistics,Reguler,Truk Engkel,B2B,E-Wallet,WH-SUR-01,DRV-295,26700.0,960.0,1,1.0,Delivered,No Delay,5.0
79,ORD2023001403,2024-07-17,2024-07-17,2024-07-18,BALIKPAPAN,BANJARMASIN,359.7,6.67,0.014,Ninja Xpress,Express,Van,B2C,Transfer Bank,WH-MED-02,DRV-352,60700.0,1510.0,1,1.0,Delivered,No Delay,5.0
80,ORD2023001669,2023-09-08,2023-09-08,2023-09-15,PALEMBANG,MAKASSAR,1973.7,10.14,0.047,Ninja Xpress,Express,Motor,B2C,Virtual Account,WH-JAK-01,DRV-431,120400.0,4320.0,7,7.0,Delivered,No Delay,5.0
81,ORD2023005865,2024-07-18,2024-07-18,2024-07-23,MEDAN,SEMARANG,1973.1,6.96,0.063,JNE,Reguler,Motor,B2C,Virtual Account,WH-MAK-01,DRV-134,43200.0,1340.0,5,5.0,Delivered,No Delay,3.0
82,ORD2023002611,2025-05-31,2025-05-31,2025-06-05,DENPASAR,MANADO,1724.8,6.87,0.06,Lion Parcel,Kargo,Unknown,B2C,Unknown,WH-MAK-02,DRV-366,44100.0,3410.0,5,5.0,Delivered,No Delay,
83,ORD2023002092,2024-11-24,2024-11-24,2024-12-01,MAKASSAR,PEKANBARU,2822.9,8.91,0.051,GoSend Logistics,Instant,Kontainer 20ft,B2B,Kartu Kredit,WH-JAK-02,DRV-392,168000.0,4600.0,7,7.0,Delivered,No Delay,3.0
84,ORD2023005579,2024-02-02,2024-02-02,2024-02-13,PALEMBANG,MANADO,3009.5,1.17,0.012,GoSend Logistics,Express,Unknown,B2C,Unknown,WH-MAK-02,DRV-103,67100.0,3410.0,11,11.0,Delivered,No Delay,
85,ORD2023005241,2024-07-13,2024-07-13,2024-07-18,JAKARTA,YOGYAKARTA,509.0,11.47,0.093,AnterAja,Reguler,Truk CDD,B2C,E-Wallet,WH-MAK-01,DRV-215,55300.0,2050.0,1,5.0,Returned,Alamat tidak ditemukan,
86,ORD2023002093,2025-02-16,2025-02-16,2025-02-21,PEKANBARU,BANDUNG,1426.4,18.18,0.138,SiCepat,Express,Kontainer 20ft,B2B,Virtual Account,WH-SUR-01,DRV-278,143700.0,10350.0,5,5.0,Delivered,No Delay,5.0
87,ORD2023004871,2024-01-17,2024-01-17,2024-01-24,BANDUNG,MANADO,2809.6,10.19,0.043,JNE,Kargo,Motor,B2B,E-Wallet,WH-SUR-02,DRV-191,60400.0,4820.0,7,7.0,Delivered,No Delay,5.0
88,ORD2023000464,2025-05-03,2025-05-04,2025-05-11,MALANG,MEDAN,2490.5,23.2,0.22,Pos Indonesia,Kargo,Motor,B2B,Transfer Bank,WH-MED-02,DRV-265,84300.0,3290.0,7,7.0,Delivered,No Delay,3.0
89,ORD2023002662,2024-02-03,2024-02-03,2024-02-07,BANJARMASIN,PALEMBANG,1402.5,1.49,0.012,J&T Express,Reguler,Truk Fuso,B2B,Transfer Bank,WH-SUR-01,DRV-478,29000.0,960.0,3,4.0,Delivered,No Delay,1.0
90,ORD2023003535,2024-01-17,2024-01-17,2024-01-26,BANJARMASIN,MALANG,613.8,43.52,0.424,Pos Indonesia,Reguler,Truk Engkel,B2C,E-Wallet,WH-MED-02,DRV-310,128200.0,8130.0,2,9.0,Returned,Penerima menolak,
91,ORD2023003032,2024-12-25,2024-12-25,2025-01-01,SURABAYA,BATAM,1774.7,9.38,0.026,AnterAja,Reguler,Truk Engkel,B2C,E-Wallet,WH-JAK-02,DRV-242,72600.0,3040.0,5,7.0,Delayed,Kendala armada,1.0
92,ORD2023003229,2024-05-14,2024-05-15,2024-05-19,PEKANBARU,JAKARTA,1210.4,3.99,0.015,AnterAja,Express,Unknown,B2C,Unknown,WH-SUR-02,DRV-459,52300.0,3410.0,4,4.0,Delivered,No Delay,
93,ORD2023001486,2025-05-18,2025-05-18,2025-05-21,YOGYAKARTA,PALEMBANG,996.7,19.2,0.082,Ninja Xpress,Kargo,Motor,B2C,Virtual Account,WH-MAK-01,DRV-339,59700.0,2790.0,3,3.0,Delivered,No Delay,3.0
94,ORD2023003804,2025-12-18,2025-12-18,2025-12-24,DENPASAR,SURABAYA,329.0,17.11,0.042,GoSend Logistics,Reguler,Truk Fuso,B2C,Kartu Kredit,WH-MAK-02,DRV-138,65200.0,3350.0,1,6.0,Delayed,Cuaca buruk,2.0
95,ORD2023003415,2024-02-19,2024-02-20,2024-02-23,JAKARTA,BATAM,1071.7,18.43,0.105,ID Express,Instant,Truk Engkel,B2B,Kartu Kredit,WH-JAK-02,DRV-215,195300.0,9760.0,2,3.0,Delivered,No Delay,3.0
96,ORD2023001635,2024-04-15,2024-04-16,2024-04-18,PALEMBANG,PEKANBARU,636.7,9.79,0.053,J&T Express,Reguler,Truk Fuso,B2B,COD,WH-SUR-02,DRV-206,33200.0,750.0,2,2.0,Delivered,No Delay,1.0
97,ORD2023002058,2025-08-22,2025-08-22,2025-08-26,PALEMBANG,MALANG,1353.7,26.85,0.266,SiCepat,Instant,Truk Fuso,B2C,Virtual Account,WH-MED-01,DRV-168,346300.0,9710.0,4,4.0,Delivered,No Delay,4.0
98,ORD2023001650,2023-09-04,2023-09-05,2023-09-11,PEKANBARU,SURABAYA,1657.8,4.69,0.028,Wahana,Kargo,Truk Fuso,B2C,COD,WH-JAK-01,DRV-451,39300.0,1710.0,6,6.0,Delivered,No Delay,3.0
99,ORD2023005311,2023-08-08,2023-08-09,2023-08-11,SURABAYA,JAKARTA,820.9,1.2,0.011,AnterAja,Kargo,Van,B2C,COD,WH-JAK-02,DRV-142,13900.0,430.0,2,2.0,Delivered,No Delay,3.0
100,ORD2023003280,2023-04-09,2023-04-10,2023-04-11,SEMARANG,JAKARTA,507.0,33.89,0.252,GoSend Logistics,Reguler,Truk CDD,B2B,COD,WH-JAK-01,DRV-485,126100.0,8940.0,1,1.0,Delivered,No Delay,1.0
101,ORD2023002154,2023-07-30,2023-07-30,2023-08-05,MEDAN,BALIKPAPAN,2352.4,4.34,0.034,ID Express,Reguler,Motor,B2C,Kartu Kredit,WH-MAK-02,DRV-340,57400.0,3740.0,6,6.0,Delivered,No Delay,5.0
102,ORD2023001253,2023-10-27,2023-10-27,2023-10-31,MANADO,BALIKPAPAN,1194.4,27.14,0.181,J&T Express,Express,Truk Fuso,B2C,COD,WH-MAK-02,DRV-120,212800.0,14600.0,3,4.0,Delivered,No Delay,4.0
103,ORD2023002907,2025-10-22,2025-10-23,,MAKASSAR,SEMARANG,1172.2,1.37,0.004,ID Express,Instant,Truk Engkel,B2C,COD,WH-MAK-01,DRV-103,71200.0,2830.0,4,,Lost,Barang hilang dalam pengiriman,
